candidate_id,path,classification,reason,owner_guess,current_registry_status,review_decision,can_be_ignored_in_future_scan
candidate-tools-memory-governance-test,tools/memory-governance-test,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-trigger-validation-test,tools/trigger-validation-test,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-probe-proposal-boundary,tools/probe-proposal-boundary,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-probe-longrunkit-deadlock,tools/probe-longrunkit-deadlock,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-memory-dashboard,tools/memory-dashboard,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-agent-health-check,tools/agent-health-check,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-write-policy-check,tools/write-policy-check,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-workflow-validate,tools/workflow-validate,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-monitor-bucket-metrics,tools/monitor-bucket-metrics,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-gate-eval,tools/gate-eval,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-memory-daily-obs,tools/memory-daily-obs,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-memory-lancedb-seed.mjs,tools/memory-lancedb-seed.mjs,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-state-write-atomic,tools/state-write-atomic,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-receipt-signer,tools/receipt-signer,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-test-callback-regression,tools/test-callback-regression,P1,自动分类为 P1,unknown,unregistered,pending,False
candidate-tools-finalize-response,tools/finalize-response,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-serial-subagents,tools/serial-subagents,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-policy-shadow-tracker,tools/policy-shadow-tracker,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-probe-session-archive,tools/probe-session-archive,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-policy-daily-report,tools/policy-daily-report,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-workspace_detector.py,tools/workspace_detector.py,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-testbot-chat,tools/testbot-chat,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-gate1-check,tools/gate1-check,P2,自动分类为 P2,unknown,unregistered,pending,True
candidate-tools-subagent-inbox,tools/subagent-inbox,P3,自动分类为 P3,unknown,unregistered,pending,True
candidate-tools-probe-summary-generation,tools/probe-summary-generation,P2,自动分类为 P2,unknown,unregistered,pending,True
